instance,variant,run,seed,value,weight,feasible,seconds,items
p02,MMAS,6,987854327,51,26,1,0.0774644,2 3 4
p02,MMAS,7,987854328,51,26,1,0.06549,2 3 4
p02,MMAS,8,987854329,51,26,1,0.065376,2 3 4
p02,MMAS,9,987854330,51,26,1,0.0683741,2 3 4
p02,MMAS,10,987854331,51,26,1,0.0705966,2 3 4
p02,MMAS,11,987854332,51,26,1,0.0633983,2 3 4
p02,MMAS,12,987854333,51,26,1,0.0643416,2 3 4
p02,MMAS,13,987854334,51,26,1,0.0723013,2 3 4
p02,MMAS,14,987854335,51,26,1,0.0679609,2 3 4
p02,MMAS,15,987854336,51,26,1,0.0631951,2 3 4
p02,MMAS,16,987854337,51,26,1,0.0623442,2 3 4
p02,MMAS,17,987854338,51,26,1,0.0671877,2 3 4
p02,MMAS,18,987854339,51,26,1,0.0627855,2 3 4
p02,MMAS,19,987854340,51,26,1,0.066322,2 3 4
p02,MMAS,20,987854341,51,26,1,0.0628531,2 3 4
p02,ACS,1,987954322,51,26,1,0.0582422,2 3 4
p02,ACS,2,987954323,51,26,1,0.0549044,2 3 4
p02,ACS,3,987954324,51,26,1,0.057455,2 3 4
p02,ACS,4,987954325,51,26,1,0.0543657,2 3 4
p02,ACS,5,987954326,51,26,1,0.0537292,2 3 4
p02,ACS,6,987954327,51,26,1,0.0552473,2 3 4
p02,ACS,7,987954328,51,26,1,0.0526803,2 3 4
p02,ACS,8,987954329,51,26,1,0.0571764,2 3 4
p02,ACS,9,987954330,51,26,1,0.0537445,2 3 4
p02,ACS,10,987954331,51,26,1,0.0606997,2 3 4
p02,ACS,11,987954332,51,26,1,0.0541696,2 3 4
p02,ACS,12,987954333,51,26,1,0.0516516,2 3 4
p02,ACS,13,987954334,51,26,1,0.059164,2 3 4
p02,ACS,14,987954335,51,26,1,0.0506961,2 3 4
p02,ACS,15,987954336,51,26,1,0.0558374,2 3 4
p02,ACS,16,987954337,51,26,1,0.0548711,2 3 4
p02,ACS,17,987954338,51,26,1,0.0518466,2 3 4
p02,ACS,18,987954339,51,26,1,0.0592365,2 3 4
p02,ACS,19,987954340,51,26,1,0.0521288,2 3 4
p02,ACS,20,987954341,51,26,1,0.0512022,2 3 4
p03,AS,1,987654322,150,190,1,0.0783806,1 2 5
p03,AS,2,987654323,150,190,1,0.0791952,1 2 5
p03,AS,3,987654324,150,190,1,0.112709,1 2 5
p03,AS,4,987654325,150,190,1,0.0812404,1 2 5
p03,AS,5,987654326,150,190,1,0.0797474,1 2 5
p03,AS,6,987654327,150,190,1,0.0749705,1 2 5
p03,AS,7,987654328,150,190,1,0.079865,1 2 5
p03,AS,8,987654329,150,190,1,0.0738293,1 2 5
p03,AS,9,987654330,150,190,1,0.0771865,1 2 5
p03,AS,10,987654331,150,190,1,0.0746596,1 2 5
p03,AS,11,987654332,150,190,1,0.0818809,1 2 5
p03,AS,12,987654333,150,190,1,0.0741317,1 2 5
p03,AS,13,987654334,150,190,1,0.0777875,1 2 5
p03,AS,14,987654335,150,190,1,0.0783529,1 2 5
p03,AS,15,987654336,150,190,1,0.0768462,1 2 5
p03,AS,16,987654337,150,190,1,0.0771812,1 2 5
