instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_100\test.in,ACS,0,0,1,0.0001073,0.00010679,1.18805e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_200\test.in,AS,0,0,1,0.000381,0.000352175,1.8124e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_200\test.in,ASRank,0,0,1,0.0005663,0.00055289,2.47323e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_200\test.in,MMAS,0,0,1,0.0003309,0.000372005,9.09168e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_200\test.in,ACS,0,0,1,0.0001293,0.00012572,2.56103e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_300\test.in,AS,0,0,1,0.0004117,0.000422525,1.75443e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_300\test.in,ASRank,0,0,1,0.0006217,0.00060664,2.5941e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_300\test.in,MMAS,0,0,1,0.0003582,0.000353405,1.12234e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0.1_s_300\test.in,ACS,0,0,1,0.0001049,0.0001047,9.58068e-07,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_100\test.in,AS,0,0,1,0.0003675,0.00038714,2.02414e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_100\test.in,ASRank,0,0,1,0.000651,0.000623945,4.71276e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_100\test.in,MMAS,0,0,1,0.0003668,0.000338235,1.82736e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_100\test.in,ACS,0,0,1,0.000118,0.00010511,8.99801e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_200\test.in,AS,0,0,1,0.0003847,0.00040498,1.4009e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_200\test.in,ASRank,0,0,1,0.0006192,0.000618945,2.96745e-06,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_200\test.in,MMAS,0,0,1,0.0004015,0.00037705,2.06583e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_200\test.in,ACS,0,0,1,0.000118,0.00011614,3.31177e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_300\test.in,AS,0,0,1,0.0004135,0.000394075,1.2308e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_300\test.in,ASRank,0,0,1,0.0006014,0.00059238,3.92292e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_300\test.in,MMAS,0,0,1,0.000351,0.000347425,1.76655e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_0_s_300\test.in,ACS,0,0,1,0.000109,0.00011375,2.53347e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_100\test.in,AS,0,0,1,0.0003395,0.00033678,3.71277e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_100\test.in,ASRank,0,0,1,0.0004778,0.00053479,6.04443e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_100\test.in,MMAS,0,0,1,0.0003633,0.00033299,4.01432e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_100\test.in,ACS,0,0,1,0.000123,0.00010829,1.41458e-05,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_200\test.in,AS,0,0,1,0.0003456,0.000359565,3.99846e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_200\test.in,ASRank,0,0,1,0.000632,0.000559435,4.23183e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_200\test.in,MMAS,0,0,1,0.0003762,0.00035513,1.98661e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.3_eps_1e-05_s_200\test.in,ACS,0,0,1,0.0001037,0.00010707,4.66985e-06,0,0,312346
