instance,profile,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
p01.txt,1,AS,309,165,1,0.0213256,0.0326006,0.0122544,0,0,112356
p01.txt,1,ASRank,309,165,1,0.019359,0.0225898,0.00436918,0,0,212353
p01.txt,1,MMAS,309,165,1,0.0179955,0.0280928,0.0107307,0,0,312348
p01.txt,1,ACS,309,165,1,0.0166337,0.0241868,0.00839822,0,0,412356
p02.txt,1,AS,51,26,1,0.0088815,0.0113273,0.00179833,0,0,112354
p02.txt,1,ASRank,51,26,1,0.009147,0.0105044,0.00163817,0,0,212365
p02.txt,1,MMAS,51,26,1,0.0082206,0.0104444,0.00239032,0,0,312353
p02.txt,1,ACS,51,26,1,0.0067418,0.00693384,0.000145567,0,0,412365
p03.txt,1,AS,150,190,1,0.0092515,0.0113697,0.00249368,0,0,112352
p03.txt,1,ASRank,150,190,1,0.0091705,0.00963217,0.000468818,0,0,212353
p03.txt,1,MMAS,150,190,1,0.009881,0.0112614,0.00112133,0,0,312361
p03.txt,1,ACS,150,190,1,0.0080387,0.00836298,0.000177292,0,0,412358
p04.txt,1,AS,107,50,1,0.0110722,0.0120531,0.000450099,0,0,112365
p04.txt,1,ASRank,107,50,1,0.0078817,0.00844551,0.000857092,0,0,212358
p04.txt,1,MMAS,107,50,1,0.0082073,0.00963338,0.00213491,0,0,312360
p04.txt,1,ACS,107,50,1,0.0126271,0.016345,0.0111938,0,0,412347
p05.txt,1,AS,900,104,1,0.017274,0.0244897,0.00791135,0,0,112365
p05.txt,1,ASRank,900,104,1,0.0168826,0.022181,0.00553215,0,0,212365
p05.txt,1,MMAS,900,104,1,0.016172,0.0232193,0.00650134,0,0,312364
p05.txt,1,ACS,900,104,1,0.0184383,0.0244263,0.00965057,0,0,412355
p06.txt,1,AS,1735,169,1,0.0122417,0.0151387,0.00264826,0,0,112365
p06.txt,1,ASRank,1735,169,1,0.0114054,0.0122894,0.000456389,0,0,212365
